property_type,number
Entire rental unit,5754
Entire residential home,2862
Entire villa,2312
Entire condominium (condo),1175
Room in hotel,564
Room in aparthotel,492
Entire serviced apartment,451
Room in boutique hotel,407
Private room in rental unit,382
Entire cottage,298
Private room in bed and breakfast,204
Entire townhouse,192
Room in serviced apartment,93
Entire guesthouse,83
Private room in condominium (condo),82
Private room in serviced apartment,78
Private room in residential home,74
Entire bungalow,69
Entire guest suite,69
Entire loft,66
Cycladic house,63
Earth house,45
Tiny house,44
Farm stay,43
Private room,41
Private room in villa,39
Entire place,29
Room in bed and breakfast,29
Private room in resort,25
Private room in guesthouse,22
Private room in loft,17
Private room in guest suite,16
Entire vacation home,14
Camper/RV,12
Room in hostel,11
Entire cabin,10
Castle,9
Private room in townhouse,8
Room in nature lodge,8
Entire bed and breakfast,7
Entire chalet,7
Boat,6
Private room in cottage,6
Private room in hostel,6
Dome house,5
Private room in cycladic house,5
Private room in farm stay,5
Private room in tent,5
Casa particular,4
Private room in tiny house,4
Barn,3
Private room in earth house,3
Campsite,2
Cave,2
Entire home/apt,2
Floor,2
Hut,2
Private room in bungalow,2
Private room in cabin,2
Shared room in townhouse,2
Tent,2
Bus,1
Island,1
Lighthouse,1
Private room in camper/rv,1
Private room in dorm,1
Private room in nature lodge,1
Room in rental unit,1
Shared room,1
Shared room in cycladic house,1
Shared room in guest suite,1
Shared room in hostel,1
Shared room in rental unit,1
Shared room in residential home,1
Treehouse,1
Windmill,1
